Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	9.182644028315991	39.0	150.51035736626886	151	9.090909090909092	122.170344
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R2_filtered	9.38477527471008	39.0	150.505797920975	151	9.090909090909092	122.170344
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R1_filtered	8.860040827357551	39.0	150.56288255705823	151	9.090909090909092	120.145313
trimmed_fastp | fastqc_results | Only_MNP_C4_S60_L002_R2_filtered	9.070473762261727	39.0	150.55689631438224	151	9.090909090909092	120.145313
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R1_filtered	9.17209268160471	39.0	150.54445328773534	151	9.090909090909092	124.013662
trimmed_fastp | fastqc_results | Plasmid_Ko_P1_S61_L002_R2_filtered	9.225165655778483	39.0	150.53824178661864	151	9.090909090909092	124.013662
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R1_filtered	9.17268383762854	39.0	150.55567877633374	151	9.090909090909092	122.457702
trimmed_fastp | fastqc_results | Plasmid_Ko_P2_S62_L002_R2_filtered	9.442573843952331	39.0	150.54902872503683	151	9.090909090909092	122.457702
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R1_filtered	8.712614009833999	39.0	150.4831402377205	151	9.090909090909092	109.64783899999999
trimmed_fastp | fastqc_results | Plasmid_Ko_P3_S63_L002_R2_filtered	8.936937944649543	39.0	150.47724226466516	151	9.090909090909092	109.64783899999999
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R1_filtered	9.08011676537842	39.0	150.5526940750274	151	9.090909090909092	119.374645
trimmed_fastp | fastqc_results | Plasmid_Ko_P4_S64_L002_R2_filtered	9.12621056518421	39.0	150.54896661682218	151	9.090909090909092	119.374645
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R1_filtered	9.94547397669514	39.0	150.56162231265012	151	9.090909090909092	155.823355
trimmed_fastp | fastqc_results | RNP_Cas1_S65_L002_R2_filtered	10.253814432793675	39.0	150.5571404042738	151	9.090909090909092	155.823355
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R1_filtered	9.662530895487237	39.0	150.50978129246386	151	9.090909090909092	143.045871
trimmed_fastp | fastqc_results | RNP_Cas2_S66_L002_R2_filtered	9.973016807357752	39.0	150.50266829442424	151	9.090909090909092	143.045871
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R1_filtered	10.583430486999603	39.0	150.51291065670043	151	9.090909090909092	176.36136199999999
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R2_filtered	10.80055826953496	39.0	150.50759270616203	151	9.090909090909092	176.36136199999999
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R1_filtered	10.519839826452781	39.0	150.52838832006708	151	9.090909090909092	161.337673
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R2_filtered	10.77684644054031	39.0	150.52101598738193	151	9.090909090909092	161.337673
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_paired	9.208611212934045	40.0	150.30181822607977	151	9.090909090909092	131.86066499999998
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_unpaired	4.08349834473178	44.0	142.6848922703152	151	18.181818181818183	1.329485
