Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R1_unpaired	(15.0, 33.0)	(16.0, 418.0)	(17.0, 1487.0)	(18.0, 2506.0)	(19.0, 3193.0)	(20.0, 4590.0)	(21.0, 7372.0)	(22.0, 11357.0)	(23.0, 16512.0)	(24.0, 23228.0)	(25.0, 29887.0)	(26.0, 36321.0)	(27.0, 40197.0)	(28.0, 43230.0)	(29.0, 45368.0)	(30.0, 45627.0)	(31.0, 47958.0)	(32.0, 50332.0)	(33.0, 52278.0)	(34.0, 60674.0)	(35.0, 65586.0)	(36.0, 82771.0)	(37.0, 94118.0)	(38.0, 125034.0)	(39.0, 408208.0)	(40.0, 116802.0)						
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_paired	(14.0, 17.0)	(15.0, 394.0)	(16.0, 3229.0)	(17.0, 8226.0)	(18.0, 11191.0)	(19.0, 14222.0)	(20.0, 19818.0)	(21.0, 28680.0)	(22.0, 41711.0)	(23.0, 61110.0)	(24.0, 87486.0)	(25.0, 120490.0)	(26.0, 160775.0)	(27.0, 205272.0)	(28.0, 263347.0)	(29.0, 334524.0)	(30.0, 418768.0)	(31.0, 541246.0)	(32.0, 686763.0)	(33.0, 887453.0)	(34.0, 1213514.0)	(35.0, 1627592.0)	(36.0, 2660309.0)	(37.0, 4555980.0)	(38.0, 11569595.0)	(39.0, 87612188.0)	(40.0, 30006796.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas2_S66_L002_R2_unpaired	(14.0, 3.0)	(15.0, 112.0)	(16.0, 850.0)	(17.0, 1988.0)	(18.0, 2354.0)	(19.0, 2384.0)	(20.0, 2778.0)	(21.0, 3783.0)	(22.0, 5108.0)	(23.0, 6732.0)	(24.0, 8690.0)	(25.0, 10105.0)	(26.0, 11687.0)	(27.0, 12691.0)	(28.0, 13645.0)	(29.0, 14433.0)	(30.0, 14934.0)	(31.0, 15563.0)	(32.0, 16404.0)	(33.0, 17085.0)	(34.0, 19312.0)	(35.0, 20219.0)	(36.0, 24791.0)	(37.0, 27421.0)	(38.0, 31845.0)	(39.0, 58664.0)	(40.0, 13163.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_paired	(15.0, 17.0)	(16.0, 231.0)	(17.0, 1151.0)	(18.0, 2636.0)	(19.0, 5069.0)	(20.0, 10390.0)	(21.0, 19853.0)	(22.0, 36244.0)	(23.0, 63923.0)	(24.0, 104930.0)	(25.0, 158650.0)	(26.0, 230401.0)	(27.0, 306423.0)	(28.0, 398589.0)	(29.0, 504562.0)	(30.0, 616559.0)	(31.0, 776833.0)	(32.0, 968853.0)	(33.0, 1207402.0)	(34.0, 1651504.0)	(35.0, 2205002.0)	(36.0, 3581852.0)	(37.0, 6049908.0)	(38.0, 14042080.0)	(39.0, 101085749.0)	(40.0, 42385968.0)						
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R1_unpaired	(15.0, 66.0)	(16.0, 792.0)	(17.0, 2839.0)	(18.0, 4327.0)	(19.0, 5029.0)	(20.0, 6590.0)	(21.0, 9713.0)	(22.0, 14608.0)	(23.0, 20444.0)	(24.0, 28185.0)	(25.0, 35629.0)	(26.0, 42733.0)	(27.0, 45947.0)	(28.0, 49253.0)	(29.0, 51272.0)	(30.0, 51719.0)	(31.0, 54159.0)	(32.0, 56871.0)	(33.0, 59978.0)	(34.0, 69293.0)	(35.0, 75694.0)	(36.0, 94326.0)	(37.0, 107458.0)	(38.0, 141576.0)	(39.0, 428067.0)	(40.0, 145336.0)						
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_paired	(14.0, 14.0)	(15.0, 477.0)	(16.0, 3640.0)	(17.0, 9077.0)	(18.0, 12463.0)	(19.0, 15535.0)	(20.0, 21811.0)	(21.0, 31721.0)	(22.0, 46699.0)	(23.0, 68590.0)	(24.0, 99189.0)	(25.0, 136490.0)	(26.0, 183910.0)	(27.0, 237322.0)	(28.0, 307380.0)	(29.0, 392614.0)	(30.0, 496124.0)	(31.0, 643606.0)	(32.0, 824478.0)	(33.0, 1064221.0)	(34.0, 1456787.0)	(35.0, 1950869.0)	(36.0, 3159170.0)	(37.0, 5366952.0)	(38.0, 13265307.0)	(39.0, 103174072.0)	(40.0, 43446261.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas3_S67_L002_R2_unpaired	(14.0, 3.0)	(15.0, 184.0)	(16.0, 1352.0)	(17.0, 3303.0)	(18.0, 3475.0)	(19.0, 3369.0)	(20.0, 3931.0)	(21.0, 4820.0)	(22.0, 6574.0)	(23.0, 8559.0)	(24.0, 11071.0)	(25.0, 13285.0)	(26.0, 15568.0)	(27.0, 16670.0)	(28.0, 17786.0)	(29.0, 18890.0)	(30.0, 19721.0)	(31.0, 20836.0)	(32.0, 22087.0)	(33.0, 22989.0)	(34.0, 25996.0)	(35.0, 27519.0)	(36.0, 33818.0)	(37.0, 37103.0)	(38.0, 42662.0)	(39.0, 74102.0)	(40.0, 16732.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_paired	(15.0, 9.0)	(16.0, 208.0)	(17.0, 1010.0)	(18.0, 2210.0)	(19.0, 4236.0)	(20.0, 8488.0)	(21.0, 16540.0)	(22.0, 30767.0)	(23.0, 54765.0)	(24.0, 90278.0)	(25.0, 139666.0)	(26.0, 204699.0)	(27.0, 275023.0)	(28.0, 361145.0)	(29.0, 464313.0)	(30.0, 570487.0)	(31.0, 725971.0)	(32.0, 914843.0)	(33.0, 1154630.0)	(34.0, 1600101.0)	(35.0, 2155379.0)	(36.0, 3543219.0)	(37.0, 6011312.0)	(38.0, 14082277.0)	(39.0, 95367317.0)	(40.0, 33546503.0)						
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R1_unpaired	(14.0, 1.0)	(15.0, 73.0)	(16.0, 1037.0)	(17.0, 3451.0)	(18.0, 5016.0)	(19.0, 5435.0)	(20.0, 6576.0)	(21.0, 9552.0)	(22.0, 14083.0)	(23.0, 21037.0)	(24.0, 28488.0)	(25.0, 36939.0)	(26.0, 44355.0)	(27.0, 49695.0)	(28.0, 53457.0)	(29.0, 56734.0)	(30.0, 58367.0)	(31.0, 63068.0)	(32.0, 67669.0)	(33.0, 72821.0)	(34.0, 86714.0)	(35.0, 95183.0)	(36.0, 119550.0)	(37.0, 133754.0)	(38.0, 171172.0)	(39.0, 532684.0)	(40.0, 159025.0)					
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_paired	(13.0, 1.0)	(14.0, 9.0)	(15.0, 547.0)	(16.0, 4427.0)	(17.0, 10800.0)	(18.0, 14562.0)	(19.0, 18152.0)	(20.0, 24705.0)	(21.0, 35475.0)	(22.0, 50545.0)	(23.0, 73532.0)	(24.0, 103344.0)	(25.0, 141272.0)	(26.0, 189523.0)	(27.0, 240727.0)	(28.0, 309337.0)	(29.0, 391791.0)	(30.0, 492351.0)	(31.0, 635201.0)	(32.0, 807782.0)	(33.0, 1045718.0)	(34.0, 1442818.0)	(35.0, 1940624.0)	(36.0, 3169162.0)	(37.0, 5406352.0)	(38.0, 13449294.0)	(39.0, 97872391.0)	(40.0, 33454954.0)				
trimmed_trimmomatic | fastqc_results | RNP_Cas4_S68_L002_R2_unpaired	(14.0, 8.0)	(15.0, 196.0)	(16.0, 1606.0)	(17.0, 3553.0)	(18.0, 3631.0)	(19.0, 3462.0)	(20.0, 3971.0)	(21.0, 5040.0)	(22.0, 6527.0)	(23.0, 8271.0)	(24.0, 10429.0)	(25.0, 12418.0)	(26.0, 14597.0)	(27.0, 15307.0)	(28.0, 16269.0)	(29.0, 17384.0)	(30.0, 17796.0)	(31.0, 18686.0)	(32.0, 19896.0)	(33.0, 20639.0)	(34.0, 23644.0)	(35.0, 24832.0)	(36.0, 30042.0)	(37.0, 33446.0)	(38.0, 38089.0)	(39.0, 66263.0)	(40.0, 13548.0)					
