Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
trimmed_fastp | fastqc_results | Control_MNP_III_S56_L002_R2_filtered	(1.0, 86.11561310690573)	(2.0, 7.549667985247361)	(3.0, 1.0643859452852595)	(4.0, 0.4864480430206745)	(5.0, 0.3347478976165018)	(6.0, 0.20592344829092102)	(7.0, 0.1810017051435877)	(8.0, 0.17506834595774717)	(9.0, 0.14811422236108418)	('>10', 1.6616781538291066)	('>50', 1.0287160343508253)	('>100', 0.7156323170992492)	('>500', 0.18737281187016663)	('>1k', 0.09305787873834455)	('>5k', 0.01483583261251074)	('>10k+', 0.037736271670796545)
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R1_filtered	(1.0, 86.73805389717639)	(2.0, 6.961180717129216)	(3.0, 1.0696112895057082)	(4.0, 0.45958683530099087)	(5.0, 0.32883562703400515)	(6.0, 0.23197658245075317)	(7.0, 0.19305748396369066)	(8.0, 0.16011147717987592)	(9.0, 0.15316764612260161)	('>10', 1.713343356832543)	('>50', 1.0318066648426316)	('>100', 0.6451052960318462)	('>500', 0.1918438264856239)	('>1k', 0.10347228073779025)	('>5k', 0.018847019206292726)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Control_MNP_II_S55_L002_R2_filtered	(1.0, 86.50139145991601)	(2.0, 7.179143951442027)	(3.0, 1.0342733238640962)	(4.0, 0.49337351676619545)	(5.0, 0.3197217319733857)	(6.0, 0.21589828894521929)	(7.0, 0.22698363886798578)	(8.0, 0.16105262116634006)	(9.0, 0.13209581358922107)	('>10', 1.6765538680333445)	('>50', 1.061671543387079)	('>100', 0.6484775621998112)	('>500', 0.17337627635081904)	('>1k', 0.11599357727266467)	('>5k', 0.014095477685999414)	('>10k+', 0.045897348539892496)
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R1_filtered	(1.0, 87.02250060997262)	(2.0, 6.8592974794500785)	(3.0, 1.0559357517161267)	(4.0, 0.48670726596940683)	(5.0, 0.34493264705301285)	(6.0, 0.2370499488174243)	(7.0, 0.184113499432504)	(8.0, 0.13513811104494974)	(9.0, 0.14821154448278626)	('>10', 1.747552084965084)	('>50', 0.9718301933677265)	('>100', 0.5640304316626026)	('>500', 0.15093365980272377)	('>1k', 0.07320259328655401)	('>5k', 0.018564178976449484)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Control_MNP_I_S54_L002_R2_filtered	(1.0, 86.74133355517537)	(2.0, 7.186791544559471)	(3.0, 1.0416543748286413)	(4.0, 0.4755790573296218)	(5.0, 0.31584882305676254)	(6.0, 0.21298458457311603)	(7.0, 0.1980660868792358)	(8.0, 0.15811692426427373)	(9.0, 0.1351547628824659)	('>10', 1.6886993257337866)	('>50', 1.0006809079249308)	('>100', 0.5668587214617855)	('>500', 0.15414314539287174)	('>1k', 0.06730413368442423)	('>5k', 0.02212909394877032)	('>10k+', 0.03465495830445467)
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R1_filtered	(1.0, 87.22251357488679)	(2.0, 6.455266830231102)	(3.0, 0.9796565762951706)	(4.0, 0.4755599665773294)	(5.0, 0.3198466224955735)	(6.0, 0.24299172892858298)	(7.0, 0.1850761019961875)	(8.0, 0.1691448150382587)	(9.0, 0.11615109665774564)	('>10', 1.886512432269759)	('>50', 1.0314471874024793)	('>100', 0.5969067768143859)	('>500', 0.19759923136713434)	('>1k', 0.10263235733364585)	('>5k', 0.01869470170584376)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Only_MNP_C1_S57_L002_R2_filtered	(1.0, 86.76993127255308)	(2.0, 6.809302879843323)	(3.0, 1.030236583704393)	(4.0, 0.4823896805031834)	(5.0, 0.33272749479800984)	(6.0, 0.21991795447480114)	(7.0, 0.1920139387688088)	(8.0, 0.15207877581498452)	(9.0, 0.11110701047700856)	('>10', 1.8280845525522518)	('>50', 1.0789173604465905)	('>100', 0.6300375167037816)	('>500', 0.2068502452805974)	('>1k', 0.10161174560901524)	('>5k', 0.030080514242255493)	('>10k+', 0.024712474227963042)
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R1_filtered	(1.0, 86.74385848698972)	(2.0, 6.995673259891378)	(3.0, 1.039602901646321)	(4.0, 0.48055503745510914)	(5.0, 0.3228359267361497)	(6.0, 0.22697940214154075)	(7.0, 0.19406336114284356)	(8.0, 0.14911086540540527)	(9.0, 0.13415565954839437)	('>10', 1.8995080100876225)	('>50', 0.895865470808789)	('>100', 0.580416842285328)	('>500', 0.19945073515277612)	('>1k', 0.11897070568802282)	('>5k', 0.018953335020456055)	('>10k+', 0.0)
trimmed_fastp | fastqc_results | Only_MNP_C2_S58_L002_R2_filtered	(1.0, 86.49702705747602)	(2.0, 7.192551146321387)	(3.0, 1.0762882239748413)	(4.0, 0.4614590512923216)	(5.0, 0.3347474988245174)	(6.0, 0.22892294859804801)	(7.0, 0.15301237967231648)	(8.0, 0.1580787489122306)	(9.0, 0.13011908322860097)	('>10', 1.853077341457746)	('>50', 0.9513557263288724)	('>100', 0.6110948247421929)	('>500', 0.18330157540901224)	('>1k', 0.11706415272536115)	('>5k', 0.02237688458484301)	('>10k+', 0.029523356451655065)
trimmed_fastp | fastqc_results | Only_MNP_C3_S59_L002_R1_filtered	(1.0, 86.64778670416399)	(2.0, 6.848447587311954)	(3.0, 1.084301345940319)	(4.0, 0.4484822270777563)	(5.0, 0.2987781158946765)	(6.0, 0.2509169459003219)	(7.0, 0.19801592204167293)	(8.0, 0.1590782016424721)	(9.0, 0.14513098818694836)	('>10', 1.7468927031337491)	('>50', 1.094366946943991)	('>100', 0.7162893914355914)	('>500', 0.19699983681387775)	('>1k', 0.14571514723643691)	('>5k', 0.018797936276261543)	('>10k+', 0.0)
