Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R1_filtered	(50, 48767.0)	(55, 51231.0)	(60, 53130.0)	(65, 55881.0)	(70, 59206.0)	(75, 61245.0)	(80, 62117.0)	(85, 100658.0)	(90, 113164.0)	(95, 118340.0)	(100, 123988.0)	(105, 126043.0)	(110, 125459.0)	(115, 126241.0)	(120, 126842.0)	(125, 129177.0)	(130, 132941.0)	(135, 139403.0)	(140, 142932.0)	(145, 120980.0)	(150, 174343617.0)
trimmed_fastp | fastqc_results | RNP_Cas3_S67_L002_R2_filtered	(50, 49697.0)	(55, 52215.0)	(60, 54135.0)	(65, 56792.0)	(70, 60251.0)	(75, 62108.0)	(80, 62575.0)	(85, 100933.0)	(90, 113215.0)	(95, 119319.0)	(100, 126289.0)	(105, 127856.0)	(110, 126093.0)	(115, 126969.0)	(120, 127613.0)	(125, 129792.0)	(130, 133946.0)	(135, 141169.0)	(140, 144367.0)	(145, 120980.0)	(150, 174325048.0)
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R1_filtered	(50, 43503.0)	(55, 45541.0)	(60, 46736.0)	(65, 49338.0)	(70, 52255.0)	(75, 53817.0)	(80, 54493.0)	(85, 87464.0)	(90, 98820.0)	(95, 104213.0)	(100, 110201.0)	(105, 111953.0)	(110, 112834.0)	(115, 113335.0)	(120, 114102.0)	(125, 116255.0)	(130, 119708.0)	(135, 125011.0)	(140, 127913.0)	(145, 104097.0)	(150, 159546084.0)
trimmed_fastp | fastqc_results | RNP_Cas4_S68_L002_R2_filtered	(50, 44797.0)	(55, 46774.0)	(60, 48046.0)	(65, 50579.0)	(70, 53371.0)	(75, 54858.0)	(80, 55143.0)	(85, 87985.0)	(90, 99034.0)	(95, 105352.0)	(100, 112705.0)	(105, 113889.0)	(110, 113572.0)	(115, 114121.0)	(120, 115215.0)	(125, 117160.0)	(130, 121230.0)	(135, 127774.0)	(140, 130367.0)	(145, 104097.0)	(150, 159521604.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_paired	(50, 64472.0)	(55, 70831.0)	(60, 76986.0)	(65, 81163.0)	(70, 84521.0)	(75, 85893.0)	(80, 91279.0)	(85, 92920.0)	(90, 95748.0)	(95, 97985.0)	(100, 100190.0)	(105, 101702.0)	(110, 104400.0)	(115, 111055.0)	(120, 110548.0)	(125, 108465.0)	(130, 108106.0)	(135, 112406.0)	(140, 114701.0)	(145, 358251.0)	(150, 129689043.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R1_unpaired	(50, 14873.0)	(55, 14184.0)	(60, 13172.0)	(65, 12214.0)	(70, 11166.0)	(75, 10392.0)	(80, 10061.0)	(85, 9317.0)	(90, 8800.0)	(95, 8652.0)	(100, 8388.0)	(105, 8082.0)	(110, 7916.0)	(115, 8049.0)	(120, 7745.0)	(125, 7261.0)	(130, 7062.0)	(135, 6952.0)	(140, 6896.0)	(145, 20332.0)	(150, 1127971.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_paired	(50, 84079.0)	(55, 87946.0)	(60, 90052.0)	(65, 95221.0)	(70, 98891.0)	(75, 102887.0)	(80, 106026.0)	(85, 110936.0)	(90, 116325.0)	(95, 119242.0)	(100, 122993.0)	(105, 126651.0)	(110, 131930.0)	(115, 133770.0)	(120, 137259.0)	(125, 138853.0)	(130, 144078.0)	(135, 143559.0)	(140, 150500.0)	(145, 434427.0)	(150, 129185040.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_unpaired	(50, 7502.0)	(55, 6814.0)	(60, 5968.0)	(65, 5462.0)	(70, 4885.0)	(75, 4632.0)	(80, 4250.0)	(85, 3958.0)	(90, 3701.0)	(95, 3493.0)	(100, 3375.0)	(105, 3311.0)	(110, 3197.0)	(115, 2973.0)	(120, 2839.0)	(125, 2763.0)	(130, 2781.0)	(135, 2702.0)	(140, 2668.0)	(145, 7665.0)	(150, 269066.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_paired	(50, 58633.0)	(55, 65557.0)	(60, 72484.0)	(65, 76161.0)	(70, 79541.0)	(75, 82423.0)	(80, 87081.0)	(85, 89266.0)	(90, 92072.0)	(95, 94286.0)	(100, 96856.0)	(105, 98187.0)	(110, 101676.0)	(115, 106915.0)	(120, 106698.0)	(125, 105518.0)	(130, 104583.0)	(135, 108594.0)	(140, 110429.0)	(145, 335081.0)	(150, 123979891.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_unpaired	(50, 13826.0)	(55, 13349.0)	(60, 12906.0)	(65, 11776.0)	(70, 10849.0)	(75, 10020.0)	(80, 9512.0)	(85, 8877.0)	(90, 8543.0)	(95, 8356.0)	(100, 8059.0)	(105, 7920.0)	(110, 7782.0)	(115, 7726.0)	(120, 7620.0)	(125, 7138.0)	(130, 6817.0)	(135, 6998.0)	(140, 6899.0)	(145, 20610.0)	(150, 1205398.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired	(50, 85355.0)	(55, 89743.0)	(60, 93978.0)	(65, 100159.0)	(70, 103336.0)	(75, 108692.0)	(80, 111830.0)	(85, 115986.0)	(90, 121175.0)	(95, 124326.0)	(100, 128166.0)	(105, 132232.0)	(110, 137189.0)	(115, 139966.0)	(120, 142346.0)	(125, 144136.0)	(130, 148648.0)	(135, 149008.0)	(140, 155251.0)	(145, 441736.0)	(150, 123278674.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired	(50, 6959.0)	(55, 6401.0)	(60, 5613.0)	(65, 4960.0)	(70, 4641.0)	(75, 4198.0)	(80, 3808.0)	(85, 3502.0)	(90, 3485.0)	(95, 3082.0)	(100, 3087.0)	(105, 2961.0)	(110, 2790.0)	(115, 2742.0)	(120, 2592.0)	(125, 2517.0)	(130, 2496.0)	(135, 2323.0)	(140, 2342.0)	(145, 6746.0)	(150, 224066.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired	(50, 59119.0)	(55, 65663.0)	(60, 72043.0)	(65, 75682.0)	(70, 78156.0)	(75, 81917.0)	(80, 85510.0)	(85, 87727.0)	(90, 90158.0)	(95, 92183.0)	(100, 95005.0)	(105, 95671.0)	(110, 98588.0)	(115, 104655.0)	(120, 104033.0)	(125, 101797.0)	(130, 101372.0)	(135, 105015.0)	(140, 107039.0)	(145, 328085.0)	(150, 121724622.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_unpaired	(50, 13305.0)	(55, 12813.0)	(60, 12122.0)	(65, 11275.0)	(70, 10294.0)	(75, 9582.0)	(80, 9188.0)	(85, 8595.0)	(90, 8386.0)	(95, 8028.0)	(100, 7724.0)	(105, 7634.0)	(110, 7562.0)	(115, 7684.0)	(120, 7249.0)	(125, 6724.0)	(130, 6613.0)	(135, 6612.0)	(140, 6538.0)	(145, 18997.0)	(150, 1090306.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired	(50, 81734.0)	(55, 84457.0)	(60, 88305.0)	(65, 94230.0)	(70, 98358.0)	(75, 102387.0)	(80, 105595.0)	(85, 108342.0)	(90, 114403.0)	(95, 117835.0)	(100, 119816.0)	(105, 124490.0)	(110, 128684.0)	(115, 130598.0)	(120, 133020.0)	(125, 135726.0)	(130, 138884.0)	(135, 138560.0)	(140, 143910.0)	(145, 414194.0)	(150, 121150512.0)
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired	(50, 6843.0)	(55, 6219.0)	(60, 5390.0)	(65, 4968.0)	(70, 4489.0)	(75, 4161.0)	(80, 3854.0)	(85, 3558.0)	(90, 3425.0)	(95, 3396.0)	(100, 3149.0)	(105, 3022.0)	(110, 2864.0)	(115, 2741.0)	(120, 2622.0)	(125, 2595.0)	(130, 2498.0)	(135, 2430.0)	(140, 2387.0)	(145, 6786.0)	(150, 237543.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired	(50, 53868.0)	(55, 59743.0)	(60, 65665.0)	(65, 69009.0)	(70, 71428.0)	(75, 73822.0)	(80, 78550.0)	(85, 80234.0)	(90, 82824.0)	(95, 84283.0)	(100, 87216.0)	(105, 89214.0)	(110, 91314.0)	(115, 96790.0)	(120, 96350.0)	(125, 94556.0)	(130, 93901.0)	(135, 97568.0)	(140, 99995.0)	(145, 305353.0)	(150, 110994707.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_unpaired	(50, 12183.0)	(55, 11847.0)	(60, 11263.0)	(65, 10499.0)	(70, 9623.0)	(75, 8856.0)	(80, 8403.0)	(85, 8109.0)	(90, 7664.0)	(95, 7283.0)	(100, 7299.0)	(105, 6905.0)	(110, 6910.0)	(115, 7004.0)	(120, 6707.0)	(125, 6455.0)	(130, 6079.0)	(135, 6105.0)	(140, 6099.0)	(145, 18068.0)	(150, 921680.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired	(50, 72142.0)	(55, 75767.0)	(60, 79523.0)	(65, 84871.0)	(70, 87992.0)	(75, 92561.0)	(80, 96496.0)	(85, 100150.0)	(90, 104370.0)	(95, 107445.0)	(100, 110245.0)	(105, 113702.0)	(110, 117725.0)	(115, 120972.0)	(120, 123379.0)	(125, 125255.0)	(130, 128490.0)	(135, 129737.0)	(140, 134431.0)	(145, 387077.0)	(150, 110474060.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired	(50, 5997.0)	(55, 5485.0)	(60, 4714.0)	(65, 4366.0)	(70, 3955.0)	(75, 3588.0)	(80, 3422.0)	(85, 3217.0)	(90, 3023.0)	(95, 2922.0)	(100, 2774.0)	(105, 2679.0)	(110, 2557.0)	(115, 2447.0)	(120, 2411.0)	(125, 2230.0)	(130, 2207.0)	(135, 2139.0)	(140, 2160.0)	(145, 6147.0)	(150, 208277.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_paired	(50, 57134.0)	(55, 63826.0)	(60, 69688.0)	(65, 73482.0)	(70, 75975.0)	(75, 78874.0)	(80, 82037.0)	(85, 85281.0)	(90, 87241.0)	(95, 89427.0)	(100, 92288.0)	(105, 92990.0)	(110, 95909.0)	(115, 102076.0)	(120, 100808.0)	(125, 99671.0)	(130, 98979.0)	(135, 102736.0)	(140, 104518.0)	(145, 320587.0)	(150, 118392873.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_unpaired	(50, 13581.0)	(55, 13175.0)	(60, 12211.0)	(65, 11168.0)	(70, 10401.0)	(75, 9592.0)	(80, 9084.0)	(85, 8707.0)	(90, 8081.0)	(95, 7881.0)	(100, 7673.0)	(105, 7361.0)	(110, 7425.0)	(115, 7246.0)	(120, 6895.0)	(125, 6561.0)	(130, 6210.0)	(135, 6299.0)	(140, 6166.0)	(145, 18446.0)	(150, 874130.0)
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_paired	(50, 74641.0)	(55, 78687.0)	(60, 82992.0)	(65, 88499.0)	(70, 92352.0)	(75, 97149.0)	(80, 100129.0)	(85, 103617.0)	(90, 109003.0)	(95, 112420.0)	(100, 115736.0)	(105, 118751.0)	(110, 123254.0)	(115, 125105.0)	(120, 127740.0)	(125, 130193.0)	(130, 134069.0)	(135, 133947.0)	(140, 139602.0)	(145, 402449.0)	(150, 117876065.0)
